PERMIT YEAR,Class,PROJECT DESCRIPTION,FINALED DATE,CONTRACTOR,TOTAL PAID,SUBAREA,NEIGHBORHOOD AREA,Lat,Lon
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Work will be done in electrical room and interior of residence, Installation of a electric vehicle charging station.",2014-03-18,PUGET SOUND SOLAR LLC,106,Wilburton/ne 8th St,Wilburton,47.61312,-122.17697
2017,Single family,"A Single Family Residential Addition to Existing Structure Project Installing {1-Panel, 200 amp}  Vehicle charging station.",2017-11-09,Emerald City Electric,259,Bridle Trails,Bridle Trails,47.64183,-122.168001
2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage, EV Charger Installation",2012-09-28,PRIME ELECTRIC INC,98,Factoria,Somerset,47.549883,-122.147428
2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, GARAGE, JOB#2761 WAR-1106 - INSTALL EV CHARGING STATION",2011-11-02,EVERGREEN POWER SYSTEMS INC,98,Bridle Trails,Bridle Trails,47.636036,-122.149131
2018,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-10,OWNER,115,Newcastle,Eastgate,47.566612,-122.128651
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station),2017-06-07,ELECTRI-CITY INC,112,Wilburton/ne 8th St,Crossroads,47.612112,-122.156033
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station},2014-04-21,ACTIVE ENGINEERING,105,Newcastle,Eastgate,47.564055,-122.125332
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage, EVSE installation",2013-04-03,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Bridle Trails,Bridle Trails,47.655091,-122.144366
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - install electric car charging station,2011-05-05,MERIDIAN CENTER ELECTRIC INC,60,Southeast Bellevue,West Lake Sammamish,47.599267,-122.110643
2016,Single family,Install vehicle charging station,2016-05-04,NORTHWEST ELECTRIC & SOLAR,110,Newport Hills,Newport,47.550925,-122.192141
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station), work will be done on the outside of the home",2013-10-11,PUGET SOUND SOLAR LLC,105,Southwest Bellevue,West Bellevue,47.583231,-122.201026
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-03-14,ARTISAN ELECTRIC INC,115,Southwest Bellevue,West Bellevue,47.603581,-122.203433
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-03-20,SEAHURST ELECTRIC INC,115,Newcastle,Cougar Mountain / Lakemont,47.548299,-122.127739
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-17,NORTHWEST ELECTRIC & SOLAR,115,Crossroads,Crossroads,47.623247,-122.130007
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-03-26,WALDRON POWER AND LIGHT CO,115,Richards Valley,Woodridge,47.593453,-122.173201
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-17,DRT INC,115,Factoria,Newport,47.55722,-122.192406
2018,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2018-03-29,IN-HOUSE ELECTRICAL SRVCS INC,115,Southeast Bellevue,West Lake Sammamish,47.605886,-122.113053
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-03-29,WALDRON POWER AND LIGHT CO,115,Northeast Bellevue,Northeast Bellevue,47.621426,-122.09285
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-03-29,Amped Electric & Mech LLC,115,Wilburton/ne 8th St,Crossroads,47.623647,-122.150437
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-20,AS YOU WISH ELECTRIC,115,North Bellevue,Northwest Bellevue,47.641278,-122.201875
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station) *add on panel upgrade and transfer switch box.,2018-12-20,24/7 ELECTRICAL COMPANY,308,Southeast Bellevue,Lake Hills,47.593228,-122.146321
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-20,SWITCH ELECTRIC LLC,115,Crossroads,Lake Hills,47.615241,-122.136371
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station),2018-12-21,SEATOWN ELECTRIC CORP,115,Southwest Bellevue,West Bellevue,47.592038,-122.196121
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-21,ARTISAN ELECTRIC INC,115,Newcastle,Cougar Mountain / Lakemont,47.557875,-122.124784
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-04-03,BLACK LION HEATING & A/C LLC,115,Wilburton/ne 8th St,Crossroads,47.623091,-122.142266
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-04-04,SEAHURST ELECTRIC INC,115,Bridle Trails,Bridle Trails,47.641285,-122.153585
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-26,OWNER,115,Eastgate,West Lake Sammamish,47.582006,-122.117169
2018,Single family,"A Nonresidential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station, 2 Added or Altered Branch Circuits)",2018-12-31,SEQUOYAH ELECTRIC LLC,223,Factoria,Newport,47.570397,-122.187541
2018,Single family,"A Nonresidential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station, 2 Added or Altered Branch Circuits)",2018-12-31,SEQUOYAH ELECTRIC LLC,223,Factoria,Newport,47.571378,-122.191053
2017,Single family,Car charger,2017-04-13,The Runners LLC,112,Southeast Bellevue,Lake Hills,47.600352,-122.141841
2018,Single family,A Single Family Residential Addition to Existing Structure Project Installing {1-Vehicle Charging Station},2018-04-12,The Runners LLC,115,Northeast Bellevue,Northeast Bellevue,47.623178,-122.112785
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-04-12,SEAHURST ELECTRIC INC,115,Southwest Bellevue,West Bellevue,47.5899,-122.197232
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-04-18,BEL-RED ELECTRIC SERVICE INC,115,Newcastle,Cougar Mountain / Lakemont,47.542033000000004,-122.1368
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-04-23,BEST BUILT INC,115,Newport Hills,Newport,47.544276,-122.186895
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-04-23,MIRSKY ELECTRIC INC,115,Southwest Bellevue,West Bellevue,47.587033,-122.194806
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-04-30,NORTHWEST ELECTRIC & SOLAR,115,Factoria,Somerset,47.5658,-122.163776
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-05-01,OWNER,115,Eastgate,West Lake Sammamish,47.585996,-122.116313
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-01-09,KINTER ELECTRIC INC,115,Bridle Trails,Bridle Trails,47.635815,-122.166476
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-05-03,24/7 ELECTRICAL COMPANY,115,Newcastle,Cougar Mountain / Lakemont,47.556049,-122.12356
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-01-14,CUSTOM ELECTRICAL SERVICES LLC,232,North Bellevue,Northwest Bellevue,47.641491,-122.20578
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-05-04,OWNER,115,Factoria,Factoria,47.572409,-122.161186
2018,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2018-05-07,ARTISAN ELECTRIC INC,115,Newcastle,Cougar Mountain / Lakemont,47.556971,-122.134253
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-01-15,BLACK LION HEATING & A/C LLC,115,Factoria,Somerset,47.547259,-122.158453
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-01-16,SEATOWN ELECTRIC CORP,115,Southwest Bellevue,West Bellevue,47.587515,-122.203972
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-05-10,SEATOWN ELECTRIC CORP,115,Crossroads,Crossroads,47.62034,-122.123003
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-03-09,SWITCH ELECTRIC LLC,115,Factoria,Newport,47.548126,-122.196556
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-11-21,SWITCH ELECTRIC LLC,110,Factoria,Somerset,47.566428,-122.161253
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-08-17,SWITCH ELECTRIC LLC,110,Southeast Bellevue,Lake Hills,47.604796,-122.135878
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-05-26,SWITCH ELECTRIC LLC,110,Factoria,Somerset,47.552068,-122.159767
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-01-23,CUSTOM ELECTRICAL SERVICES LLC,120,Richards Valley,Woodridge,47.585109,-122.174422
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-05-18,24/7 ELECTRICAL COMPANY,115,Factoria,Newport,47.568953,-122.186153
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-01-23,SEATOWN ELECTRIC CORP,120,Newport Hills,Newport,47.551422,-122.191753
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-05-22,PROVIDENT ELECTRIC INC,115,Newcastle,Cougar Mountain / Lakemont,47.536134,-122.11322
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-03-14,BELLEVUE ELECTRIC INC,120,Factoria,Somerset,47.557212,-122.162767
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-01-29,SEAHURST ELECTRIC INC,120,North Bellevue,Northwest Bellevue,47.616414,-122.215175
2018,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {2-Vehicle Charging Station},2018-05-25,WALDRON POWER AND LIGHT CO,115,Factoria,Newport,47.573384,-122.178145
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-01-29,SEAHURST ELECTRIC INC,120,Newport Hills,Newport,47.548994,-122.188077
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-01-29,RES INC,120,Newcastle,West Lake Sammamish,47.570634,-122.098481
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-02-01,SEATOWN ELECTRIC CORP,115,Factoria,Somerset,47.554193,-122.160129
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-02-19,Sunergy Systems Inc.,120,Newcastle,Eastgate,47.566238,-122.123807
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-02-20,24/7 ELECTRICAL COMPANY,115,Factoria,Somerset,47.550691,-122.146585
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-02-26,Sunergy Systems Inc.,120,Newcastle,Cougar Mountain / Lakemont,47.560175,-122.138951
2019,Multifamily,A Single Family Condo Unit Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2019-02-26,OWNER,120,Newport Hills,Newport,47.543292,-122.188736
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-05-29,PURE POWER LLC,115,Newcastle,Cougar Mountain / Lakemont,47.564626,-122.105608
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-03-06,BEAUX ELECTRIC LLC,120,Bridle Trails,Bridle Trails,47.639889,-122.170637
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-05,TRINITY ELECTRIC LLC,115,Southeast Bellevue,West Lake Sammamish,47.606091,-122.113127
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-03-07,BELLEVUE ELECTRIC INC,120,Factoria,Somerset,47.555162,-122.15685
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-03-08,OWNER,115,Newcastle,Cougar Mountain / Lakemont,47.559184,-122.134224
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-08,STRANDS ELECTRIC LLC,115,Newcastle,Cougar Mountain / Lakemont,47.550283,-122.128159
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-08,WALDRON POWER AND LIGHT CO,115,Newcastle,Eastgate,47.565802,-122.122139
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-13,OWNER,112,Southeast Bellevue,Lake Hills,47.602839,-122.124226
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-03-15,PARKER BROS ELECTRIC LLC,120,Bridle Trails,Bridle Trails,47.649496,-122.164456
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-20,ELECTRI-CITY INC,115,Bridle Trails,Bridle Trails,47.635981,-122.176982
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-19,ELECTRI-CITY INC,115,Southwest Bellevue,West Bellevue,47.583724,-122.193879
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-21,NORTHWEST ELECTRIC & SOLAR,115,Newcastle,Cougar Mountain / Lakemont,47.547761,-122.134561
2018,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2018-06-21,NORTHWEST ELECTRIC & SOLAR,115,Southwest Bellevue,West Bellevue,47.592502,-122.199705
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-03-20,NORTHWEST ELECTRIC & SOLAR,115,Newcastle,Somerset,47.550192,-122.139983
2018,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2018-06-26,NORTHWEST ELECTRIC & SOLAR,115,Newcastle,Cougar Mountain / Lakemont,47.539564,-122.118684
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-26,NORTHWEST ELECTRIC & SOLAR,115,Northeast Bellevue,Northeast Bellevue,47.63897,-122.120876
2018,Multifamily,A Multifamily Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-27,NORTHWEST ELECTRIC & SOLAR,299,Downtown,Downtown,47.620085,-122.193276
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-27,SEAHURST ELECTRIC INC,115,Southeast Bellevue,Lake Hills,47.590829,-122.136688
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-03-25,ARTISAN ELECTRIC INC,112,Southeast Bellevue,Lake Hills,47.608888,-122.130662
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-03-26,OWNER,120,Northeast Bellevue,Northeast Bellevue,47.637593,-122.114118
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-06-29,PROVIDENT ELECTRIC INC,115,North Bellevue,Northwest Bellevue,47.615982,-122.214282
2018,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2018-07-02,NORTHWEST ELECTRIC & SOLAR,115,Newcastle,Eastgate,47.563039,-122.11775
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-07-02,24/7 ELECTRICAL COMPANY,115,North Bellevue,Northwest Bellevue,47.6352,-122.203819
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-07-03,SEAHURST ELECTRIC INC,115,Newcastle,Cougar Mountain / Lakemont,47.551135,-122.132868
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-07-05,Sunergy Systems Inc.,115,Newcastle,West Lake Sammamish,47.580904,-122.112662
2019,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2019-04-04,SEAHURST ELECTRIC INC,120,Southwest Bellevue,West Bellevue,47.583784,-122.19875
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-07-11,24/7 ELECTRICAL COMPANY,115,Newcastle,Cougar Mountain / Lakemont,47.556124,-122.123714
2019,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2019-04-05,IN-HOUSE ELECTRICAL SRVCS INC,120,Newcastle,Cougar Mountain / Lakemont,47.558426,-122.13077
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-07-20,STRANDS ELECTRIC LLC,115,North Bellevue,Northwest Bellevue,47.628929,-122.205056
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-07-26,NORTHWEST ELECTRIC & SOLAR,115,North Bellevue,Northwest Bellevue,47.616129,-122.214583
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-07-26,SEAHURST ELECTRIC INC,115,Factoria,Somerset,47.557957,-122.160093
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-07-27,NORTHWEST ELECTRIC & SOLAR,115,Factoria,Newport,47.570855,-122.193067
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1750 Vehicle Charging Station),2018-07-27,SEAHURST ELECTRIC INC,115,Wilburton/ne 8th St,Crossroads,47.615295,-122.151766
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-08-06,BELLEVUE ELECTRIC INC,115,Richards Valley,Woodridge,47.589544,-122.178731
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-08-08,MAPLE VALLEY ELECTRIC INC,115,Southwest Bellevue,West Bellevue,47.591174,-122.197067
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-04-23,ALT ELECTRIC LLC,120,Bridle Trails,Bridle Trails,47.633317,-122.184207
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-08-09,OWNER,115,Wilburton/ne 8th St,Wilburton,47.617286,-122.165426
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-04-26,KEITHLY ELECTRIC CO,120,Southwest Bellevue,West Bellevue,47.605686,-122.194831
2018,Multifamily,"A Multifamily Residential Alteration to Existing Structure Project Installing {1-Service Change 126-200 amps, 1-Subpanel, 8-Vehicle Charging Station}",2018-08-13,INFINITY ELECTRIC SERVICES CO,856,Downtown,Downtown,47.611179,-122.206091
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-07-17,24/7 ELECTRICAL COMPANY,115,Belred,Belred,47.62313,-122.154196
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-08-15,Sunergy Systems Inc.,115,Bridle Trails,Bridle Trails,47.641495,-122.185558
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-04-30,SEATOWN ELECTRIC CORP,120,Newcastle,Cougar Mountain / Lakemont,47.55475,-122.131282
2019,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2019-04-30,SEAHURST ELECTRIC INC,120,Eastgate,Eastgate,47.575066,-122.155499
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-05-02,ALT ELECTRIC LLC,120,Southwest Bellevue,West Bellevue,47.583411,-122.191233
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-05-02,SEATOWN ELECTRIC CORP,120,Bridle Trails,Bridle Trails,47.642877,-122.155706
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station),2019-05-03,NORTHWEST ELECTRIC & SOLAR,120,Newport Hills,Newport,47.564689,-122.184465
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-08-22,SEAHURST ELECTRIC INC,115,Newport Hills,Newport,47.546327,-122.18511
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-05-03,APOLLO ELECTRICAL SERVICES LLC,120,Factoria,Somerset,47.566428,-122.161253
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-05-06,NORTHWEST ELECTRIC & SOLAR,120,Factoria,Somerset,47.555427,-122.156835
2017,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2019-05-08,ALL WIRE ELECTRIC INC,112,Northeast Bellevue,Northeast Bellevue,47.639916,-122.114542
2016,Single family,Vehicle Charging Station,2019-05-08,NORTHWEST ELECTRIC & SOLAR,110,Bridle Trails,Bridle Trails,47.642742,-122.181944
2019,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2019-05-15,S M E INC OF SEATTLE,120,Northeast Bellevue,West Lake Sammamish,47.615452,-122.104103
2019,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2019-05-17,SEAHURST ELECTRIC INC,120,Newcastle,Eastgate,47.563941,-122.123276
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-08-31,SWITCH ELECTRIC LLC,115,Newcastle,Cougar Mountain / Lakemont,47.541991,-122.112083
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-08-31,SEAHURST ELECTRIC INC,115,Richards Valley,Woodridge,47.601028,-122.176864
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-05,CUSTOM ELECTRICAL SERVICES LLC,115,North Bellevue,Northwest Bellevue,47.619457,-122.217868
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-06,BELLEVUE ELECTRIC INC,115,Newport Hills,Newport,47.552232,-122.188891
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-18,Seattle Electricians Today LLC,115,Bridle Trails,Bridle Trails,47.639207999999996,-122.150121
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-19,PROVIDENT ELECTRIC INC,115,Southwest Bellevue,West Bellevue,47.594024,-122.20107899999999
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-19,BOLEY ELECTRIC INC,115,North Bellevue,Northwest Bellevue,47.619603,-122.212831
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-20,BELLEVUE ELECTRIC INC,115,Newcastle,Cougar Mountain / Lakemont,47.562364,-122.103314
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-21,Washington Electric LLC,115,Bridle Trails,Bridle Trails,47.644888,-122.149947
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-24,FULLER ELECTRIC INC,115,Wilburton/ne 8th St,Wilburton,47.611739,-122.167035
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station),2018-09-25,Illuminate Contracting LLC,115,Eastgate,West Lake Sammamish,47.575446,-122.119112
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-27,SEAHURST ELECTRIC INC,115,Bridle Trails,Bridle Trails,47.654032,-122.161299
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-27,SEATOWN ELECTRIC CORP,115,Newcastle,Cougar Mountain / Lakemont,47.551671,-122.127503
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-09-28,ARTISAN ELECTRIC INC,115,Newcastle,Cougar Mountain / Lakemont,47.551813,-122.137456
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-04,SEAHURST ELECTRIC INC,115,North Bellevue,Northwest Bellevue,47.619788,-122.21085
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-04,NORTHWEST ELECTRIC & SOLAR,115,Wilburton/ne 8th St,Lake Hills,47.612815,-122.14373
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-05,OWNER,115,Newcastle,Eastgate,47.568473,-122.114427
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-05,SOLTERRA GLOBAL LLC,115,Newcastle,Eastgate,47.563941,-122.123276
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-05,GREEN CONCEPTS LLC,115,Newcastle,Cougar Mountain / Lakemont,47.558071,-122.131908
2018,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-08,LANDER ELECTRIC CO INC,115,Newcastle,Eastgate,47.569526,-122.128672
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-18,S M E INC OF SEATTLE,115,Newport Hills,Newport,47.562401,-122.175457
2018,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-18,"Darrah Electric, LLC",115,Newport Hills,Newport,47.551667,-122.182154
